country,iso_code,region
Afghanistan,AFG,South Asia
Albania,ALB,Europe & Central Asia
Algeria,DZA,Middle East & North Africa
American Samoa,ASM,East Asia & Pacific
Angola,AGO,Sub-Saharan Africa
Antigua and Barbuda,ATG,Latin America & Caribbean
Argentina,ARG,Latin America & Caribbean
Armenia,ARM,Europe & Central Asia
Aruba,ABW,Latin America & Caribbean
Australia,AUS,East Asia & Pacific
Austria,AUT,Europe & Central Asia
Azerbaijan,AZE,Europe & Central Asia
Bahamas,BHS,Latin America & Caribbean
Bahrain,BHR,Middle East & North Africa
Bangladesh,BGD,South Asia
Barbados,BRB,Latin America & Caribbean
Belarus,BLR,Europe & Central Asia
Belgium,BEL,Europe & Central Asia
Belize,BLZ,Latin America & Caribbean
Benin,BEN,Sub-Saharan Africa
Bermuda,BMU,Latin America & Caribbean
Bhutan,BTN,South Asia
Bolivia,BOL,Latin America & Caribbean
Bosnia and Herzegovina,BIH,Europe & Central Asia
Botswana,BWA,Sub-Saharan Africa
Brazil,BRA,Latin America & Caribbean
British Virgin Islands,VGB,Latin America & Caribbean
Brunei,BRN,East Asia & Pacific
Bulgaria,BGR,Europe & Central Asia
Burkina Faso,BFA,Sub-Saharan Africa
Burundi,BDI,Sub-Saharan Africa
Cambodia,KHM,East Asia & Pacific
Cameroon,CMR,Sub-Saharan Africa
Canada,CAN,North America
Cape Verde,CPV,Sub-Saharan Africa
Cayman Islands,CYM,Latin America & Caribbean
Central African Republic,CAF,Sub-Saharan Africa
Chad,TCD,Sub-Saharan Africa
Chile,CHL,Latin America & Caribbean
China,CHN,East Asia & Pacific
China Hong Kong SAR,HKG,East Asia & Pacific
Colombia,COL,Latin America & Caribbean
Comoros,COM,Sub-Saharan Africa
Congo,COG,Sub-Saharan Africa
Costa Rica,CRI,Latin America & Caribbean
Cote d'Ivoire,CIV,Sub-Saharan Africa
Croatia,HRV,Europe & Central Asia
Cuba,CUB,Latin America & Caribbean
Cyprus,CYP,Europe & Central Asia
Czechia,CZE,Europe & Central Asia
Democratic Republic of Congo,COD,Sub-Saharan Africa
Denmark,DNK,Europe & Central Asia
Djibouti,DJI,Middle East & North Africa
Dominica,DMA,Latin America & Caribbean
Dominican Republic,DOM,Latin America & Caribbean
East Timor,TLS,East Asia & Pacific
Ecuador,ECU,Latin America & Caribbean
Egypt,EGY,Middle East & North Africa
El Salvador,SLV,Latin America & Caribbean
Equatorial Guinea,GNQ,Sub-Saharan Africa
Eritrea,ERI,Sub-Saharan Africa
Estonia,EST,Europe & Central Asia
Eswatini,SWZ,Sub-Saharan Africa
Ethiopia,ETH,Sub-Saharan Africa
Faroe Islands,FRO,Europe & Central Asia
Fiji,FJI,East Asia & Pacific
Finland,FIN,Europe & Central Asia
France,FRA,Europe & Central Asia
French Guiana,GUF,Latin America & Caribbean
French Polynesia,PYF,East Asia & Pacific
Gabon,GAB,Sub-Saharan Africa
Gambia,GMB,Sub-Saharan Africa
Georgia,GEO,Europe & Central Asia
Germany,DEU,Europe & Central Asia
Ghana,GHA,Sub-Saharan Africa
Gibraltar,GIB,Europe & Central Asia
Greece,GRC,Europe & Central Asia
Greenland,GRL,Europe & Central Asia
Grenada,GRD,Latin America & Caribbean
Guadeloupe,GLP,Latin America & Caribbean
Guam,GUM,East Asia & Pacific
Guatemala,GTM,Latin America & Caribbean
Guinea,GIN,Sub-Saharan Africa
Guinea-Bissau,GNB,Sub-Saharan Africa
Guyana,GUY,Latin America & Caribbean
Haiti,HTI,Latin America & Caribbean
Honduras,HND,Latin America & Caribbean
Hungary,HUN,Europe & Central Asia
Iceland,ISL,Europe & Central Asia
India,IND,South Asia
Indonesia,IDN,East Asia & Pacific
Iran,IRN,Middle East & North Africa
Iraq,IRQ,Middle East & North Africa
Ireland,IRL,Europe & Central Asia
Israel,ISR,Middle East & North Africa
Italy,ITA,Europe & Central Asia
Jamaica,JAM,Latin America & Caribbean
Japan,JPN,East Asia & Pacific
Jordan,JOR,Middle East & North Africa
Kazakhstan,KAZ,Europe & Central Asia
Kenya,KEN,Sub-Saharan Africa
Kiribati,KIR,East Asia & Pacific
Kuwait,KWT,Middle East & North Africa
Kyrgyzstan,KGZ,Europe & Central Asia
Laos,LAO,East Asia & Pacific
Latvia,LVA,Europe & Central Asia
Lebanon,LBN,Middle East & North Africa
Lesotho,LSO,Sub-Saharan Africa
Liberia,LBR,Sub-Saharan Africa
Libya,LBY,Middle East & North Africa
Lithuania,LTU,Europe & Central Asia
Luxembourg,LUX,Europe & Central Asia
Macao,MAC,East Asia & Pacific
Madagascar,MDG,Sub-Saharan Africa
Malawi,MWI,Sub-Saharan Africa
Malaysia,MYS,East Asia & Pacific
Maldives,MDV,South Asia
Mali,MLI,Sub-Saharan Africa
Malta,MLT,Europe & Central Asia
Martinique,MTQ,Latin America & Caribbean
Mauritania,MRT,Sub-Saharan Africa
Mauritius,MUS,Sub-Saharan Africa
Mexico,MEX,Latin America & Caribbean
Moldova,MDA,Europe & Central Asia
Mongolia,MNG,East Asia & Pacific
Montenegro,MNE,Europe & Central Asia
Montserrat,MSR,Latin America & Caribbean
Morocco,MAR,Middle East & North Africa
Mozambique,MOZ,Sub-Saharan Africa
Myanmar,MMR,East Asia & Pacific
Namibia,NAM,Sub-Saharan Africa
Nauru,NRU,East Asia & Pacific
Nepal,NPL,South Asia
Netherlands,NLD,Europe & Central Asia
New Caledonia,NCL,East Asia & Pacific
New Zealand,NZL,East Asia & Pacific
Nicaragua,NIC,Latin America & Caribbean
Niger,NER,Sub-Saharan Africa
Nigeria,NGA,Sub-Saharan Africa
Niue,NIU,East Asia & Pacific
North Korea,PRK,East Asia & Pacific
North Macedonia,MKD,Europe & Central Asia
Norway,NOR,Europe & Central Asia
Oman,OMN,Middle East & North Africa
Pakistan,PAK,South Asia
Palestine,PSE,Middle East & North Africa
Panama,PAN,Latin America & Caribbean
Papua New Guinea,PNG,East Asia & Pacific
Paraguay,PRY,Latin America & Caribbean
Peru,PER,Latin America & Caribbean
Philippines,PHL,East Asia & Pacific
Poland,POL,Europe & Central Asia
Portugal,PRT,Europe & Central Asia
Puerto Rico,PRI,Latin America & Caribbean
Qatar,QAT,Middle East & North Africa
Reunion,REU,Sub-Saharan Africa
Romania,ROU,Europe & Central Asia
Russia,RUS,Europe & Central Asia
Rwanda,RWA,Sub-Saharan Africa
Saudi Arabia,SAU,Middle East & North Africa
Senegal,SEN,Sub-Saharan Africa
Serbia,SRB,Europe & Central Asia
Seychelles,SYC,Sub-Saharan Africa
Sierra Leone,SLE,Sub-Saharan Africa
Singapore,SGP,East Asia & Pacific
Slovakia,SVK,Europe & Central Asia
Slovenia,SVN,Europe & Central Asia
Solomon Islands,SLB,East Asia & Pacific
Somalia,SOM,Sub-Saharan Africa
South Africa,ZAF,Sub-Saharan Africa
South Sudan,SSD,Sub-Saharan Africa
Spain,ESP,Europe & Central Asia
Sri Lanka,LKA,South Asia
Sudan,SDN,Sub-Saharan Africa
Suriname,SUR,Latin America & Caribbean
Sweden,SWE,Europe & Central Asia
Switzerland,CHE,Europe & Central Asia
Syria,SYR,Middle East & North Africa
Taiwan,TWN,East Asia & Pacific
Tajikistan,TJK,Europe & Central Asia
Tanzania,TZA,Sub-Saharan Africa
Thailand,THA,East Asia & Pacific
Togo,TGO,Sub-Saharan Africa
Tonga,TON,East Asia & Pacific
Trinidad and Tobago,TTO,Latin America & Caribbean
Tunisia,TUN,Middle East & North Africa
Turkey,TUR,Europe & Central Asia
Turkmenistan,TKM,Europe & Central Asia
Uganda,UGA,Sub-Saharan Africa
Ukraine,UKR,Europe & Central Asia
United Arab Emirates,ARE,Middle East & North Africa
United Kingdom,GBR,Europe & Central Asia
United States,USA,North America
United States Virgin Islands,VIR,Latin America & Caribbean
Uruguay,URY,Latin America & Caribbean
Uzbekistan,UZB,Europe & Central Asia
Vanuatu,VUT,East Asia & Pacific
Venezuela,VEN,Latin America & Caribbean
Vietnam,VNM,East Asia & Pacific
Western Sahara,ESH,Middle East & North Africa
Yemen,YEM,Middle East & North Africa
Zambia,ZMB,Sub-Saharan Africa
Zimbabwe,ZWE,Sub-Saharan Africa
Hong Kong,HKG,East Asia & Pacific
South Korea,KOR,East Asia & Pacific
Cook Islands,COK,East Asia & Pacific
Falkland Islands,FLK,Latin America & Caribbean
Northern Mariana Islands,MNP,East Asia & Pacific
Saint Helena,SHN,Sub-Saharan Africa
Saint Kitts and Nevis,KNA,Latin America & Caribbean
Saint Lucia,LCA,Latin America & Caribbean
Saint Pierre and Miquelon,SPM,North America
Saint Vincent and the Grenadines,VCT,Latin America & Caribbean
